index,id,genres
422,ts21967,"['comedy', 'drama', 'family', 'scifi', 'animation', 'action']"
423,ts12701,"['action', 'fantasy', 'thriller', 'comedy', 'family', 'scifi', 'romance', 'animation']"
424,tm130574,"['comedy', 'romance', 'drama']"
425,ts21695,"['action', 'comedy', 'reality', 'romance', 'thriller']"
426,ts121176,"['horror', 'music', 'animation', 'comedy', 'family', 'fantasy', 'scifi']"
427,ts1893,"['comedy', 'family', 'fantasy', 'animation', 'european']"
428,ts20535,"['animation', 'comedy', 'family', 'european']"
429,tm160800,"['action', 'crime', 'drama', 'thriller', 'european']"
430,ts38159,"['action', 'drama', 'scifi', 'fantasy', 'animation', 'family', 'european']"
431,tm22493,"['comedy', 'documentation']"
432,tm164557,"['drama', 'action', 'crime', 'thriller', 'animation', 'comedy', 'romance']"
433,tm112381,"['comedy', 'documentation']"
434,tm71119,"['action', 'comedy']"
435,tm134235,"['fantasy', 'animation', 'action']"
436,tm86995,"['comedy', 'family']"
437,ts17028,"['action', 'scifi', 'family', 'western', 'animation']"
438,tm137530,"['drama', 'romance']"
439,ts25765,"['scifi', 'romance', 'animation', 'action', 'drama', 'fantasy', 'horror']"
440,ts3666,"['scifi', 'animation', 'comedy', 'drama']"
441,ts42914,"['comedy', 'fantasy', 'romance', 'action', 'animation', 'family', 'european']"
442,tm100688,"['drama', 'european', 'history']"
443,tm31290,"['horror', 'thriller']"
444,tm36475,"['drama', 'romance']"
445,tm80059,"['fantasy', 'animation', 'action', 'family']"
446,tm53999,['comedy']
447,tm22636,"['comedy', 'crime']"
448,tm30289,"['comedy', 'documentation']"
449,tm38896,"['thriller', 'horror', 'documentation', 'war', 'european']"
450,tm29269,"['romance', 'history', 'war', 'action', 'drama']"
451,tm156001,"['comedy', 'drama', 'romance']"
452,ts21664,['comedy']
453,tm73058,"['comedy', 'drama', 'fantasy', 'romance', 'thriller', 'action']"
454,tm76835,"['comedy', 'drama', 'romance']"
455,ts1464,"['action', 'crime', 'drama', 'thriller', 'comedy']"
456,tm48083,"['drama', 'comedy', 'european']"
457,tm33981,"['crime', 'scifi', 'drama', 'thriller', 'action', 'comedy']"
458,tm80339,"['comedy', 'action', 'animation', 'fantasy']"
459,ts72322,"['drama', 'action']"
460,ts52849,"['comedy', 'family', 'fantasy', 'music', 'animation', 'european']"
461,tm165259,['drama']
462,tm97544,"['animation', 'romance', 'comedy', 'family']"
463,tm65142,"['drama', 'comedy', 'animation', 'action']"
464,ts14102,['animation']
465,tm22342,"['thriller', 'drama', 'crime', 'action']"
466,tm24576,"['action', 'animation']"
467,tm41508,"['comedy', 'crime', 'drama']"
468,ts74928,"['documentation', 'history', 'war', 'european']"
469,tm52352,"['documentation', 'music']"
470,tm170873,"['comedy', 'drama']"
471,tm176297,['comedy']
472,ts74931,"['action', 'comedy', 'family', 'animation']"
473,tm110923,"['drama', 'comedy', 'romance', 'war']"
474,tm150521,['thriller']
475,tm75022,['comedy']
476,tm177687,"['fantasy', 'comedy', 'drama', 'animation', 'action']"
477,tm22989,"['comedy', 'documentation']"
478,ts98252,"['animation', 'comedy', 'family']"
479,tm156575,"['drama', 'comedy']"
480,ts20358,['comedy']
481,ts44053,['war']
482,ts23319,"['comedy', 'fantasy', 'animation', 'family', 'european']"
483,tm91046,['drama']
484,tm61056,"['drama', 'comedy', 'romance']"
485,tm138497,"['comedy', 'crime']"
486,tm93612,"['fantasy', 'animation', 'action']"
487,tm81461,"['drama', 'comedy']"
488,tm32915,"['drama', 'comedy', 'crime']"
489,ts63295,['drama']
490,tm96037,"['action', 'animation', 'fantasy']"
491,tm36164,"['fantasy', 'animation', 'action']"
492,tm147494,"['action', 'animation', 'fantasy']"
493,tm31564,"['thriller', 'crime', 'drama']"
494,tm95238,"['fantasy', 'horror', 'comedy', 'family']"
495,tm54147,"['drama', 'comedy', 'romance']"
496,tm99776,"['comedy', 'documentation']"
497,tm30170,"['thriller', 'crime', 'action', 'european']"
498,tm37945,"['drama', 'music']"
499,tm25029,"['romance', 'drama']"
500,tm59880,['comedy']
501,tm34524,"['action', 'animation', 'comedy', 'drama', 'fantasy']"
502,tm83175,"['romance', 'crime', 'comedy']"
503,tm65839,"['thriller', 'european', 'crime', 'drama']"
504,tm89936,"['thriller', 'fantasy', 'action', 'comedy']"
505,tm22540,"['comedy', 'crime']"
506,tm34846,"['fantasy', 'drama', 'animation', 'action']"
507,tm32885,"['comedy', 'drama', 'history', 'crime']"
508,ts44663,"['animation', 'comedy', 'european']"
509,tm82765,"['drama', 'european']"
510,tm170169,"['thriller', 'scifi', 'horror']"
511,tm44749,"['thriller', 'comedy', 'drama', 'romance']"
512,tm47325,"['comedy', 'european']"
513,tm146887,"['drama', 'comedy']"
514,tm144345,"['drama', 'comedy', 'romance']"
515,tm70222,"['drama', 'crime', 'thriller', 'action']"
516,tm92977,"['comedy', 'thriller', 'romance', 'drama']"
517,ts37200,"['animation', 'family', 'european']"
518,tm98975,"['drama', 'romance']"
519,tm25842,['documentation']
520,tm43179,"['comedy', 'drama', 'action', 'crime']"
521,tm95434,"['romance', 'comedy', 'drama']"
522,tm23441,"['drama', 'romance']"
523,tm418157,['documentation']
524,tm86051,"['crime', 'action', 'drama', 'history']"
525,tm44634,"['comedy', 'documentation']"
526,tm62369,"['thriller', 'action', 'crime']"
527,tm23077,"['drama', 'family', 'romance']"
528,tm31335,"['comedy', 'crime']"
529,tm139349,"['comedy', 'documentation']"
530,tm85243,['comedy']
531,tm165809,"['drama', 'comedy', 'romance', 'thriller', 'crime']"
532,tm89764,"['fantasy', 'action', 'comedy', 'animation']"
533,tm68191,"['drama', 'european', 'comedy', 'war']"
534,tm51493,"['comedy', 'drama']"
535,ts56589,"['animation', 'comedy', 'family']"
536,ts1413,"['drama', 'romance']"
537,tm175687,"['war', 'documentation']"
538,ts98353,['animation']
539,tm49405,"['action', 'animation', 'fantasy']"
540,tm96168,"['thriller', 'crime', 'drama', 'romance', 'action']"
541,tm72587,"['romance', 'documentation', 'drama', 'european']"
542,tm88366,"['drama', 'romance', 'thriller', 'action', 'comedy']"
543,tm101684,"['romance', 'comedy']"
544,tm38454,"['comedy', 'documentation']"
545,tm164389,"['fantasy', 'drama', 'romance', 'comedy']"
546,tm77863,"['comedy', 'drama', 'romance']"
547,ts137477,['drama']
548,tm138902,"['fantasy', 'thriller', 'animation', 'action']"
549,ts4866,"['drama', 'comedy', 'romance']"
550,tm149209,"['drama', 'crime', 'action', 'thriller']"
551,ts34414,['comedy']
552,tm147686,"['comedy', 'documentation']"
553,tm82718,"['scifi', 'comedy']"
